,Star Name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640[1],20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,981
62,P Cygni,"05,545",30,76
63,VV Cephei,"04,900",18.2,"1050"
64,61 Cygni,011.41,0.7,0.665
65,R Doradus,0178,1,298
66,Polaris Australis,0281,1.59,3.74
67,R Coronae Borealis,"04,566",0.85,85
68,54 Piscium,036.1,0.76,0.94
69,Mira,0300,1.2,370
70,RW Cephei,"014,000",13.9,"1158"
71,Lacaille 8760,012.87,0.6,0.51
72,V838 Monocerotis,"019,896",?,467
73,HD 140283,0190,?,1.4
74,II Pegasi,0130,0.8,3.4
75,VY Canis Majoris,"03,900",17,"1420"
76,Pistol Star,"025,000",100,320
77,S Doradus,"0169,000",24,380
78,UY Scuti,"05,100",10,755
79,Barnard's Star,05.98,0.14,0.20
80,Luhman 16,06.52,0.04,?
81,Proxima Centauri,04.25,0.12,0.15
82,KIC 8462852,"01,470",1.43,1.58
83,R136a1,"0163,000",290,32
84,Melnick 42,"0163,000",189,21.1
85,WR 102,"018,134",19,0.39
86,VFTS 352,"0164,000",57.48,14.47
87,YBP 1194,"02,772",1.01,0.99
88,Gliese 1214,047.5,0.16,0.21
89,NML Cygni,"05,251",50,"1640"
90,VB 10,018.72,0.075,0.10
91,WOH G64,"0163,000",25,"1730"
92,TRAPPIST-1,039.6,0.089,0.12
93,2MASS J0523-1403,040.3,0.07,0.086
94,WISE 0855−0714,07.27,0.003,?
95,Icarus,"014,400,000,000",33,?
96,SDSS J000013.54+255418.6 [de],46.1,48,0.99
97,2MASS J00040288-6410358,192,19,1.63
98,2MASS J00242463-0158201,37.7,79,1.09
99,2MASS J00274197+0503417,236,31,1.44
100,2MASSW J0030300-145033,87.2,54,0.98
101,2MASS J00332386-1521309 [de],131,29,1.43
102,2MASS J00345157+0523050,31,42,0.94
103,2MASS 0036+1821,28.6,42,0.94
104,2MASSW J0045214+163445,57,23,1.62
105,WISEP J004701.06+680352.1 [fr],40,12,1.3
106,2MASS J00501994-3322402 [de],34,40,0.94
107,2MASS J00584253-0651239 [de],96,29,1.43
108,2MASSI J0103320+193536,70,52,0.98
109,SDSSp J010752.33+004156.1 [de],51,52,0.98
110,2MASSI J0117474-340325 [de],163,20,1.62
111,2MASS J01415823-4633574 [de],130,20,1.61
112,SDSS J015141.69+124429.6,70,47,0.97
113,SDSS J020742.48+000056.2 [de],111,47,0.97
114,2MASS J02103857-3015313,101,15,1.53
115,2MASS J02340093-6442068,155,20,1.62
116,2MASS J02411151-0326587 [de],152,27,1.41
117,2MASS J02431371−2453298,35,33,0.99
118,LP 771-21,53,78,1.08
119,Teegarden's star,12.578,80,1.27
120,2MASS J02535980+3206373,184,65,1.9
121,WISE J0254+0223,24,65,1.9
122,DEN 0255-4700,16.2,80,0.97
123,2MASS J03185403-3421292 [de],45,49,0.97
124,2MASS J03205965+1854233,47,88,1.15
125,2MASS J03231002-4631237,192,23,1.66
126,SDSS J032553.17+042540.1,59,45,0.95
127,2MASS J03264225-2102057 [de],80,18,1.3
128,2MASS J03284265+2302051 [de],98,54,0.98
129,2MASS J03341218-4953322,27.0,73,1.04
130,LP 944-20,20.9,73,1.43
131,2MASP J0345432+254023,88,74,1.05
132,Teide 1,380,55,3.78
133,2MASS J03510004-0052452,48,102,1.27
134,2MASS J03552337+1133437,29.8,20,1.32
135,2MASS J04151954−0935066,18.6,30,0.95
136,2MASS J04285096-2253227 [de],85,80,1.09
137,2MASS J04351612-1606574,34,100,1.26
138,2MASS J04362788-4114465,142,39,1.97
139,2MASS J04390101-2353083 [de],29.5,48,0.97
140,2MASS J04433764+0002040,82,22,1.78
141,2MASS J04455387-3048204 [de],42,64,1.00
142,2MASS J04510093-3402150 [de],69,1.04,72
143,2MASS J05002100+0330501 [de],44,64,1.00
144,2MASS J05012406-0010452 [de],64,21,1.38
145,2MASS J05160945-0445499 [de],73,47,0.97
146,2MASS J0523−1403,40,68,1.01
147,SDSS J053951.99-005902.0,41.62,61,1.01
148,LSR 0602+3910 [de],34.6,28,1.41
149,2MASS J06085283-2753583,102,38,1.51
150,2MASS J06244595-4521548 [de],39,56,0.99
151,2MASS J06411840-4322329 [de],65,67,1.01
152,DENIS-P J0652197-253450 [de],51,75,1.05
153,2MASS J07075327-4900503,60,72,1.03
154,UGPS J072227.51-054031.2,13.4,26,0.98
155,2MASSI J0727182+171001 [de],29.6,41,0.94
156,2MASS J07290002-3954043 [de],25.8,37,0.94
157,SDSS J074201.41+205520.5 [de],49,43,0.94
158,DENIS-P J0751164-253043 [de],55,71,1.03
159,2MASS J07522390+1612157,60,2.01,68
160,DENIS J081730.0-615520,16.1,44,0.94
161,2MASS J08251968+2115521 [de],35,52,0.98
162,SDSSp J083008.12+482847.4 [de],43,48,0.99
163,LHS 2021,55,88,1.15
164,SDSS J083048.80+012831.1 [de],77,46,0.96
165,2MASSI J0835425-081923 [de],23.53,62,1.00
166,2MASSI J0847287-153237 [de],43,64,1.00
167,2MASS J08533619-0329321,27.6,77,1.07
168,2MASSI J0859254-194926 [de],50,50,0.98
169,2MASSI J0937347+293142,20.0,42,0.94
170,2MASS 0939−2448,17.4,32,0.95
171,2MASS J09490860-1545485 [de],59,49,0.96
172,2MASS J10073369-4555147,46,44,0.94
173,2MASSI J1010148-040649 [de],55,51,0.98
174,2MASS J10224821+5825453 [de],60,27,1.41
175,2MASSW J1036530-344138 [de],53,49,0.97
176,2MASS J1047538+212423 [de],34.4,42,0.94
177,DEN 1048-3956,13.15,77,1.07
178,Luhman 16B,6.516,43,1.02
179,Luhman 16A,6.516,40,1.01
180,DENIS-P J1058.7−1548,49,64,1.00
181,TWA 28,180,36,2.39
182,Cha 110913-773444,163,8,1.8
183,SDSS J111010.01+011613.1,63,9,1.24
184,2MASS J11145133−2618235,18.2,33,0.96
185,TWA 26,137,30,2.20
186,2MASS J11544223-3400390 [de],129,37,1.50
187,2MASSW J1155395-372735 [de],31,64,1.00
188,2MASS J12074836-3900043,217,17,1.71
189,2MASSI J1217110-031113 [de],36,42,0.94
190,2M 1237+6526,45.6,41,0.94
191,TWA 29,262,2.00,25
192,SDSSp J125453.90-012247.4 [de],38,47,0.98
193,Kelu-1A,61,63,0.98
194,Kelu-1B,61,58,0.98
195,2MASS J13204427+0409045,101,67,1.01
196,SDSSp J132629.82-003831.5 [de],65,51,0.97
197,SDSSp J134646.45-003150.4 [de],48,44,0.94
198,2MASS J13595510-4034582,51,63,1.00
199,ULAS J141623.94+134836.3,29.7,32,0.96
200,SDSS J141659.78+500626.4 [de],149,59,0.99
201,DENIS-P J142527.97-365023.4 [de],38,21,1.32
202,LHS 2924,38.5,76,1.06
203,2MASS J14392837+1929150,47,72,1.03
204,LSPM J1440+1339,72,92,1.19
205,2MASS J14482563+1031590 [de],47,59,0.99
206,CFBDSIR 1458+10A,104,11.1,1.5
207,CFBDSIR 1458+10B,104,9,1.3
208,TVLM 513-46546,35.1,75,1.05
209,2MASS 1503+2525,20.7,44,0.94
210,CFBDS J150411+102717,71,44,0.94
211,2MASSW J1506544+132106 [de],46,69,1.02
212,2MASS 1507−1627,23.9,60,0.99
213,TVLM 868-110639,53,79,1.08
214,2MASSW J1515008+484742 [de],34,57,0.99
215,2MASSI J1526140+204341 [de],67,54,0.98
216,DENIS-P J153941.96-052042.4 [de],51,63,1.00
217,2MASS J15462718-3325111 [de],37,44,0.94
218,2MASSW J1552591+294849 [de],68,30,1.43
219,2MASSW J1555157-095605 [de],44,71,1.03
220,2MASS J16150413+1340079 [de],48,42,0.94
221,SDSSp J162414.37+002915.6 [de],36,43,0.94
222,2MASS J16262034+3925190 [de],110,71,1.03
223,2MASSW J1632291+190441 [de],50,49,0.97
224,WISEPA J164715.59+563208.2,28,41,0.94
225,LSPM J1658+7027 [de],60,73,1.04
226,2MASSI J1726000+153819,114,24,1.40
227,SDSSp J175032.96+175903.9,90,47,0.97
228,2MASS J18283572-4849046,39,45,0.95
229,LSR J1835+3259,18.5,77,1.07
230,2MASSW J1841086+311727,138,67,1.01
231,2MASS J18432213+4040209,46,96,1.22
232,2MASS J20004841-7523070,105,25,1.88
233,SDSS J204749.61-071818.3,65,46,0.96
234,2MASSI J2057540-025230,47,70,1.02
235,2MASSI J2104149-103736,62,69,1.02
236,PSO J318.5−22,80,6.5,1.53
237,HB 2124-4228,113,94,1.21
238,2MASS J21392676+0220226,32.1,46,0.96
239,2MASS J21481628+4003593,26.3,55,0.99
240,2MASSW J2206450-421721,93,22,1.33
241,2MASSW J2208136+292121,154,27,1.41
242,2MASSW J2224438-015852,38,61,0.99
243,2MASS J22282889-4310262,35,42,0.94
244,2MASS J22373255+3922398,64,73,1.04
245,2MASSW J2244316+204343,56,12,1.29
246,2MASS J23224684-3133231,56,24,1.39
247,2MASS J23225299-6151275,148,17,1.59
248,2MASS J23515044-2537367,67,88,1.16
249,2MASSI J2356547-155310,74,80,1.09
250,WISE 0410+1502,20,6,1.17
251,WISE 0458+6434A,35.9,15,4.2
252,WISE 0458+6434B,35.9,10,3.8
253,WISE 1405+5534,25.3,30,0.86
